LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
93.256,2.0,2.0,SOFT,1.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
129.384,3.0,3.0,SOFT,1.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,218.0
91.82,4.0,4.0,SOFT,1.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,315.0
127.382,5.0,5.0,SOFT,1.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,281.0
115.945,6.0,6.0,SOFT,1.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,265.0
90.973,7.0,7.0,SOFT,1.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,316.0
105.157,11.0,2.0,SOFT,3.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,243.0
120.923,12.0,3.0,SOFT,3.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,278.0
90.263,13.0,4.0,SOFT,3.0,ALB,2022,Pre-Season Track Session,FP2,35.0,25.0,1,316.0
104.528,2.0,2.0,TEST_UNKNOWN,1.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,1,306.0
102.926,3.0,3.0,TEST_UNKNOWN,1.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,1,299.0
102.087,4.0,4.0,TEST_UNKNOWN,1.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,1,299.0
102.387,7.0,2.0,TEST_UNKNOWN,2.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,1,306.0
102.084,8.0,3.0,TEST_UNKNOWN,2.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,1,298.0
101.853,9.0,4.0,TEST_UNKNOWN,2.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,1,298.0
104.84,12.0,7.0,TEST_UNKNOWN,3.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,297.0
104.23,13.0,8.0,TEST_UNKNOWN,3.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,301.0
104.73,14.0,9.0,TEST_UNKNOWN,3.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,303.0
104.762,15.0,10.0,TEST_UNKNOWN,3.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,305.0
104.678,16.0,11.0,TEST_UNKNOWN,3.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,302.0
104.937,17.0,12.0,TEST_UNKNOWN,3.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,303.0
105.069,20.0,7.0,TEST_UNKNOWN,4.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,297.0
104.558,21.0,8.0,TEST_UNKNOWN,4.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,294.0
104.322,22.0,9.0,TEST_UNKNOWN,4.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,295.0
104.332,23.0,10.0,TEST_UNKNOWN,4.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,296.0
104.319,24.0,11.0,TEST_UNKNOWN,4.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,296.0
104.284,25.0,12.0,TEST_UNKNOWN,4.0,ALB,2022,Pre-Season Test,FP2,35.0,25.0,0,297.0
105.35,2.0,2.0,MEDIUM,1.0,ALB,2022,Pre-Season Test,R,35.0,25.0,1,306.0
104.781,3.0,3.0,MEDIUM,1.0,ALB,2022,Pre-Season Test,R,35.0,25.0,1,304.0
105.143,4.0,4.0,MEDIUM,1.0,ALB,2022,Pre-Season Test,R,35.0,25.0,1,306.0
106.242,5.0,5.0,MEDIUM,1.0,ALB,2022,Pre-Season Test,R,35.0,25.0,1,301.0
104.688,6.0,6.0,MEDIUM,1.0,ALB,2022,Pre-Season Test,R,35.0,25.0,1,324.0
104.585,7.0,7.0,MEDIUM,1.0,ALB,2022,Pre-Season Test,R,35.0,25.0,1,305.0
105.814,8.0,8.0,MEDIUM,1.0,ALB,2022,Pre-Season Test,R,35.0,25.0,1,301.0
