LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
93.066,2.0,2.0,SOFT,1.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,299.0
98.971,3.0,3.0,SOFT,1.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,283.0
91.358,4.0,4.0,SOFT,1.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,304.0
118.238,5.0,5.0,SOFT,1.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,237.0
91.135,6.0,6.0,SOFT,1.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,304.0
138.815,7.0,7.0,SOFT,1.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,179.0
90.798,8.0,8.0,SOFT,1.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,307.0
89.695,11.0,2.0,SOFT,2.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,307.0
135.762,12.0,3.0,SOFT,2.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,129.0
97.159,13.0,4.0,SOFT,2.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,292.0
121.208,14.0,5.0,SOFT,2.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,210.0
90.034,15.0,6.0,SOFT,2.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
116.983,18.0,2.0,MEDIUM,3.0,ALO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,198.0
137.237,3.0,2.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,312.0
96.426,4.0,3.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
95.064,5.0,4.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
94.947,6.0,5.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,290.0
94.985,7.0,6.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,290.0
94.976,8.0,7.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,290.0
94.799,9.0,8.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,290.0
94.721,10.0,9.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
94.709,11.0,10.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
94.439,12.0,11.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
94.276,13.0,12.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
94.062,14.0,13.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
94.363,15.0,14.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
94.295,16.0,15.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
94.251,17.0,16.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
93.855,18.0,17.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
94.087,19.0,18.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
94.107,20.0,19.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
94.056,21.0,20.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
93.847,22.0,21.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
93.983,23.0,22.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
94.283,24.0,23.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
94.075,25.0,24.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
94.013,26.0,25.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
93.836,27.0,26.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
93.681,28.0,27.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
93.991,29.0,28.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
93.848,30.0,29.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
93.826,31.0,30.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
93.863,32.0,31.0,MEDIUM,2.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
92.744,35.0,2.0,HARD,3.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
92.529,36.0,3.0,HARD,3.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
92.233,37.0,4.0,HARD,3.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
92.707,38.0,5.0,HARD,3.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
92.306,43.0,4.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,302.0
92.142,44.0,5.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
91.808,45.0,6.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,318.0
92.84,46.0,7.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,319.0
91.609,47.0,8.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
92.838,48.0,9.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
91.973,49.0,10.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,314.0
91.707,50.0,11.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,314.0
91.758,51.0,12.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,312.0
91.694,52.0,13.0,SOFT,4.0,ALO,2022,Pre-Season Track Session,R,35.0,25.0,1,311.0
104.363,2.0,2.0,TEST_UNKNOWN,1.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,1,281.0
102.655,3.0,3.0,TEST_UNKNOWN,1.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,1,282.0
102.363,4.0,4.0,TEST_UNKNOWN,1.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,1,285.0
102.897,7.0,2.0,TEST_UNKNOWN,2.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,1,282.0
101.334,8.0,3.0,TEST_UNKNOWN,2.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,1,283.0
101.794,9.0,4.0,TEST_UNKNOWN,2.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,1,287.0
104.89,12.0,7.0,TEST_UNKNOWN,3.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,284.0
104.657,13.0,8.0,TEST_UNKNOWN,3.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,284.0
104.668,14.0,9.0,TEST_UNKNOWN,3.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,284.0
104.411,15.0,10.0,TEST_UNKNOWN,3.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,285.0
106.37,16.0,11.0,TEST_UNKNOWN,3.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,285.0
104.605,17.0,12.0,TEST_UNKNOWN,3.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
105.061,20.0,7.0,TEST_UNKNOWN,4.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,283.0
104.617,21.0,8.0,TEST_UNKNOWN,4.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,288.0
104.21,22.0,9.0,TEST_UNKNOWN,4.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,286.0
104.003,23.0,10.0,TEST_UNKNOWN,4.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
104.032,24.0,11.0,TEST_UNKNOWN,4.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
104.317,25.0,12.0,TEST_UNKNOWN,4.0,ALO,2022,Pre-Season Test,FP2,35.0,25.0,0,290.0
105.239,2.0,2.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,292.0
104.501,3.0,3.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,305.0
104.541,4.0,4.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,326.0
104.939,5.0,5.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,323.0
104.505,6.0,6.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,294.0
104.272,7.0,7.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,293.0
104.635,8.0,8.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,293.0
104.471,9.0,9.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,296.0
104.665,10.0,10.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,295.0
104.695,11.0,11.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,296.0
104.846,12.0,12.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,296.0
104.864,13.0,13.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,294.0
103.963,14.0,14.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,295.0
104.004,15.0,15.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,301.0
104.61,16.0,16.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,318.0
104.44,17.0,17.0,HARD,1.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,297.0
105.509,26.0,4.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,310.0
104.982,27.0,5.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,301.0
103.454,28.0,6.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,324.0
103.619,29.0,7.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,309.0
103.983,30.0,8.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,320.0
103.563,31.0,9.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,328.0
103.618,32.0,10.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,303.0
103.27,33.0,11.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,326.0
103.174,34.0,12.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,294.0
103.086,35.0,13.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,294.0
103.235,36.0,14.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,295.0
102.978,37.0,15.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,298.0
102.975,38.0,16.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,299.0
103.117,39.0,17.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,299.0
102.635,40.0,18.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,299.0
102.898,41.0,19.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,296.0
102.637,42.0,20.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,298.0
102.715,43.0,21.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,299.0
102.732,44.0,22.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,299.0
102.005,45.0,23.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,298.0
102.22,46.0,24.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,302.0
102.498,47.0,25.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,315.0
102.029,48.0,26.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,324.0
102.178,49.0,27.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,301.0
102.152,50.0,28.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,300.0
101.804,51.0,29.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,302.0
102.192,52.0,30.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,303.0
102.268,53.0,31.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,302.0
102.467,54.0,32.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,299.0
103.848,55.0,33.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,302.0
102.406,56.0,34.0,HARD,3.0,ALO,2022,Pre-Season Test,R,35.0,25.0,1,301.0
94.372,2.0,2.0,MEDIUM,1.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,315.0
113.581,3.0,3.0,MEDIUM,1.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,299.0
94.8,4.0,4.0,MEDIUM,1.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,312.0
92.877,7.0,2.0,SOFT,2.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,313.0
118.005,8.0,3.0,SOFT,2.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,202.0
93.396,9.0,4.0,SOFT,2.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,312.0
98.236,12.0,7.0,MEDIUM,3.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,280.0
98.166,13.0,8.0,MEDIUM,3.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,281.0
98.368,14.0,9.0,MEDIUM,3.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,283.0
98.254,15.0,10.0,MEDIUM,3.0,ALO,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,311.0
