LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
92.883,2.0,2.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,299.0
92.719,6.0,6.0,MEDIUM,2.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,296.0
98.269,11.0,9.0,MEDIUM,4.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,282.0
97.411,12.0,10.0,MEDIUM,4.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,279.0
96.722,13.0,11.0,MEDIUM,4.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,283.0
96.785,14.0,12.0,MEDIUM,4.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,284.0
97.949,15.0,13.0,MEDIUM,4.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,284.0
99.199,16.0,14.0,MEDIUM,4.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,268.0
136.406,17.0,15.0,MEDIUM,4.0,ANT,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,281.0
101.392,2.0,2.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,280.0
99.261,3.0,3.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,291.0
98.206,4.0,4.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,292.0
98.044,5.0,5.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,296.0
97.733,6.0,6.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,293.0
97.906,7.0,7.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,294.0
97.588,8.0,8.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,295.0
97.736,9.0,9.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,297.0
97.905,10.0,10.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,286.0
97.615,11.0,11.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,287.0
97.615,12.0,12.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,288.0
97.621,13.0,13.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
97.711,14.0,14.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,287.0
97.851,15.0,15.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
97.705,16.0,16.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,285.0
97.529,17.0,17.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,286.0
97.73,18.0,18.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,285.0
97.704,19.0,19.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,287.0
97.744,20.0,20.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
97.466,21.0,21.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
96.842,22.0,22.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,286.0
97.176,23.0,23.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,287.0
96.971,24.0,24.0,MEDIUM,1.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
95.303,27.0,2.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,286.0
96.339,28.0,3.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.0
96.676,29.0,4.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,298.0
96.351,30.0,5.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
96.808,31.0,6.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,296.0
97.339,32.0,7.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,283.0
96.324,33.0,8.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,288.0
96.64,34.0,9.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,287.0
95.984,35.0,10.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,288.0
96.426,36.0,11.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.0
96.431,37.0,12.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,288.0
96.73,38.0,13.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
96.49,39.0,14.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
96.189,40.0,15.0,HARD,2.0,ANT,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.43589743589746
