LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
93.796,3.0,3.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,291.0
140.84,4.0,4.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,225.0
93.314,5.0,5.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,291.0
144.273,6.0,6.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,182.0
92.319,14.0,6.0,SOFT,5.0,BOR,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,295.0
92.486,16.0,8.0,SOFT,5.0,BOR,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,297.0
114.893,17.0,9.0,SOFT,5.0,BOR,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,192.0
128.579,18.0,10.0,SOFT,5.0,BOR,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,257.0
101.226,2.0,2.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,284.0
100.081,3.0,3.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,298.0
99.677,4.0,4.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,294.0
99.452,5.0,5.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,289.0
99.657,6.0,6.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,290.0
99.072,7.0,7.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,279.0
98.776,8.0,8.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,284.5625
99.153,9.0,9.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,284.5625
98.835,10.0,10.0,MEDIUM,1.0,BOR,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,1,278.0
