LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
94.589,2.0,2.0,HARD,1.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
111.489,3.0,3.0,HARD,1.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,237.0
92.48,4.0,4.0,HARD,1.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
110.712,5.0,5.0,HARD,1.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,292.0
91.74,6.0,6.0,HARD,1.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
90.519,9.0,2.0,SOFT,2.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
115.945,10.0,3.0,SOFT,2.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,283.0
90.395,11.0,4.0,SOFT,2.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
90.459,14.0,7.0,SOFT,3.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,311.0
124.085,15.0,8.0,SOFT,3.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,66.0
90.0,16.0,9.0,SOFT,3.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,309.0
95.306,20.0,9.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,294.0
94.784,21.0,10.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,294.0
94.806,22.0,11.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
95.042,23.0,12.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,287.0
94.646,24.0,13.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
94.799,25.0,14.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
95.157,26.0,15.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
95.259,27.0,16.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
125.131,28.0,17.0,HARD,5.0,BOT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,267.0
131.434,3.0,2.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
97.106,4.0,3.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,301.0
95.571,5.0,4.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
95.694,6.0,5.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,321.0
95.579,7.0,6.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,320.0
95.857,8.0,7.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,312.0
95.527,9.0,8.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,314.0
95.433,10.0,9.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,317.0
95.768,11.0,10.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,317.0
95.274,12.0,11.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,320.0
95.387,13.0,12.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,319.0
95.117,14.0,13.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,326.0
95.279,15.0,14.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,325.0
95.702,16.0,15.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,312.0
95.364,17.0,16.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,315.0
95.507,18.0,17.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
95.103,19.0,18.0,MEDIUM,2.0,BOT,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
100.655,2.0,2.0,MEDIUM,1.0,BOT,2022,Pre-Season Test,FP2,35.0,25.0,1,316.0
138.856,3.0,3.0,MEDIUM,1.0,BOT,2022,Pre-Season Test,FP2,35.0,25.0,1,278.0
99.637,4.0,4.0,MEDIUM,1.0,BOT,2022,Pre-Season Test,FP2,35.0,25.0,1,315.0
133.957,5.0,5.0,MEDIUM,1.0,BOT,2022,Pre-Season Test,FP2,35.0,25.0,1,245.0
98.999,6.0,6.0,MEDIUM,1.0,BOT,2022,Pre-Season Test,FP2,35.0,25.0,1,316.0
97.656,9.0,2.0,SOFT,2.0,BOT,2022,Pre-Season Test,FP2,35.0,25.0,1,318.0
