LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
94.286,2.0,2.0,HARD,1.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,1,296.0
131.318,3.0,3.0,HARD,1.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,1,283.0
93.172,4.0,4.0,HARD,1.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,1,301.0
134.392,5.0,5.0,HARD,1.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,1,202.0
93.012,6.0,6.0,HARD,1.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,1,298.0
96.606,9.0,2.0,SOFT,2.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,1,296.0
92.057,12.0,5.0,SOFT,3.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,297.0
97.424,16.0,9.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,279.0
98.234,17.0,10.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,281.0
103.416,18.0,11.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,279.0
96.929,19.0,12.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,281.0
97.653,20.0,13.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,281.35714285714283
97.978,21.0,14.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,282.0
97.939,22.0,15.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,281.35714285714283
106.863,23.0,16.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,283.0
99.44,24.0,17.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,281.0
139.257,25.0,18.0,HARD,5.0,COL,2024,Pre-Season Testing,FP2,32.95000000000001,30.181707317073165,0,281.35714285714283
99.89,2.0,2.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,282.0
99.371,3.0,3.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,287.0
99.29,4.0,4.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,289.0
98.954,5.0,5.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,292.0
99.06,6.0,6.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,293.0
98.94,7.0,7.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,296.0
98.934,8.0,8.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,283.0
98.73,9.0,9.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,284.0
98.833,10.0,10.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,282.0
98.756,11.0,11.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,284.0
98.894,12.0,12.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,285.42857142857144
98.94,13.0,13.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,282.0
99.139,14.0,14.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,281.0
98.858,15.0,15.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,280.0
98.865,16.0,16.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,282.0
99.21,17.0,17.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,285.42857142857144
99.078,18.0,18.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,285.42857142857144
99.024,19.0,19.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,285.42857142857144
98.682,20.0,20.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,285.42857142857144
99.327,21.0,21.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,283.0
98.959,22.0,22.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,285.0
99.621,23.0,23.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,283.0
99.047,24.0,24.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,285.0
99.886,25.0,25.0,MEDIUM,1.0,COL,2024,Pre-Season Testing,R,36.445625,30.786250000000003,1,283.0
