LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
86.434,2.0,2.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,1,322.0
87.274,5.0,5.0,MEDIUM,2.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,321.0
138.502,6.0,6.0,MEDIUM,2.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,153.0
147.708,7.0,7.0,MEDIUM,2.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,158.0
86.764,8.0,8.0,MEDIUM,2.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,320.0
84.961,11.0,2.0,SOFT,3.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,1,324.0
144.219,12.0,3.0,SOFT,3.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,1,141.0
133.344,13.0,4.0,SOFT,3.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,1,199.0
86.266,14.0,5.0,SOFT,3.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,1,324.0
91.944,17.0,11.0,MEDIUM,4.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,298.0
90.338,18.0,12.0,MEDIUM,4.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,299.0
90.301,19.0,13.0,MEDIUM,4.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,298.0
90.69,20.0,14.0,MEDIUM,4.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,299.0
90.466,21.0,15.0,MEDIUM,4.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,301.0
90.483,22.0,16.0,MEDIUM,4.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,302.0
89.203,25.0,2.0,SOFT,5.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,297.0
149.173,26.0,3.0,SOFT,5.0,DOO,2024,Abu Dhabi Grand Prix,FP2,31.649367088607598,26.474683544303797,0,181.0
90.198,4.0,4.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,318.0
90.457,5.0,5.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,324.0
90.503,6.0,6.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,318.0
90.775,7.0,7.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,311.0
90.952,8.0,8.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,302.0
90.96,9.0,9.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,303.0
91.054,10.0,10.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,302.0
90.825,11.0,11.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,303.0
90.859,12.0,12.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,304.0
90.584,13.0,13.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,304.0
90.61,14.0,14.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,304.0
92.119,15.0,15.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,290.0
91.1,16.0,16.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,302.0
91.563,17.0,17.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,309.0
90.964,18.0,18.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,304.0
90.902,19.0,19.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,305.0
90.94,20.0,20.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,304.0
90.92,21.0,21.0,MEDIUM,1.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,305.0
89.815,24.0,2.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,321.0
89.949,25.0,3.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,325.0
90.411,26.0,4.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,299.0
90.173,27.0,5.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,300.0
90.089,28.0,6.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,301.0
90.212,29.0,7.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,300.0
90.119,30.0,8.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,302.0
90.072,31.0,9.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,302.0
90.404,32.0,10.0,HARD,2.0,DOO,2024,Abu Dhabi Grand Prix,R,31.805405405405406,26.76824324324324,1,302.0
