LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
98.379,2.0,2.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
94.236,3.0,3.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
92.951,4.0,4.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
120.703,5.0,5.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,266.0
111.092,6.0,6.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,262.0
95.446,7.0,7.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,294.0
92.353,8.0,8.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
118.493,9.0,9.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,264.0
97.037,10.0,10.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,270.0
91.937,11.0,11.0,HARD,1.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
91.246,14.0,2.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
126.53,15.0,3.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,280.0
90.869,16.0,4.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
122.994,17.0,5.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,286.0
90.51,18.0,6.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
96.539,21.0,14.0,HARD,3.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,292.0
95.831,22.0,15.0,HARD,3.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
95.082,23.0,16.0,HARD,3.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
95.22,24.0,17.0,HARD,3.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
95.301,25.0,18.0,HARD,3.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
95.253,26.0,19.0,HARD,3.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,293.0
110.733,27.0,20.0,HARD,3.0,GAS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,271.0
131.047,3.0,2.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,301.0
95.854,4.0,3.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,298.0
96.576,5.0,4.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
95.333,6.0,5.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
95.642,7.0,6.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
95.512,8.0,7.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
95.527,9.0,8.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,289.0
96.25,10.0,9.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
102.236,11.0,10.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
95.807,12.0,11.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
95.543,13.0,12.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
95.419,14.0,13.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
95.671,15.0,14.0,SOFT,2.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
94.614,18.0,3.0,HARD,3.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,0,296.0
94.738,19.0,4.0,HARD,3.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,0,296.0
95.141,20.0,5.0,HARD,3.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,0,296.0
95.265,21.0,6.0,HARD,3.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,0,301.0
94.722,22.0,7.0,HARD,3.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,0,296.0
94.636,23.0,8.0,HARD,3.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,0,298.0
94.763,24.0,9.0,HARD,3.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,0,295.0
95.118,25.0,10.0,HARD,3.0,GAS,2022,Pre-Season Track Session,R,35.0,25.0,0,297.0
100.842,2.0,2.0,TEST_UNKNOWN,1.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,1,292.0
100.505,3.0,3.0,TEST_UNKNOWN,1.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,1,294.0
101.042,4.0,4.0,TEST_UNKNOWN,1.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,1,293.0
99.84,7.0,2.0,TEST_UNKNOWN,2.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,1,293.0
100.172,8.0,3.0,TEST_UNKNOWN,2.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,1,295.0
101.449,9.0,4.0,TEST_UNKNOWN,2.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,1,296.0
103.225,12.0,7.0,TEST_UNKNOWN,3.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,292.0
103.499,13.0,8.0,TEST_UNKNOWN,3.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,292.0
104.015,14.0,9.0,TEST_UNKNOWN,3.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,292.0
104.288,15.0,10.0,TEST_UNKNOWN,3.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
104.59,16.0,11.0,TEST_UNKNOWN,3.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
104.355,17.0,12.0,TEST_UNKNOWN,3.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
102.776,20.0,7.0,TEST_UNKNOWN,4.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
102.907,21.0,8.0,TEST_UNKNOWN,4.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
103.025,22.0,9.0,TEST_UNKNOWN,4.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
103.673,23.0,10.0,TEST_UNKNOWN,4.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,294.0
104.065,24.0,11.0,TEST_UNKNOWN,4.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,294.0
103.469,25.0,12.0,TEST_UNKNOWN,4.0,GAS,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
104.501,2.0,2.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,296.0
103.602,3.0,3.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,313.0
103.571,4.0,4.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,319.0
106.435,5.0,5.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,291.0
104.44,6.0,6.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,320.0
103.604,7.0,7.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,321.0
104.596,8.0,8.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,298.0
105.019,9.0,9.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,299.0
104.23,10.0,10.0,MEDIUM,1.0,GAS,2022,Pre-Season Test,R,35.0,25.0,1,298.0
103.808,13.0,3.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,292.0
103.743,14.0,4.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,300.0
103.974,15.0,5.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,300.0
103.878,16.0,6.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,296.0
103.587,17.0,7.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,323.0
104.212,26.0,16.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,298.0
103.433,27.0,17.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,300.0
104.265,28.0,18.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,300.0
102.85,29.0,19.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,301.0
103.439,30.0,20.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,293.0
103.032,31.0,21.0,HARD,2.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,298.0
102.542,34.0,3.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,293.0
102.332,35.0,4.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,293.0
102.537,36.0,5.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,295.0
102.497,37.0,6.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,300.0
103.103,38.0,7.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,307.0
102.474,39.0,8.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,302.0
102.402,40.0,9.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,323.0
102.622,41.0,10.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,297.0
102.72,42.0,11.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,302.0
102.581,43.0,12.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,299.0
102.211,44.0,13.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,299.0
102.876,45.0,14.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,300.0
102.523,46.0,15.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,301.0
102.7,47.0,16.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,302.0
102.348,48.0,17.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,302.0
102.169,49.0,18.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,304.0
102.069,50.0,19.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,302.0
102.904,51.0,20.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,305.0
103.311,52.0,21.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,322.0
104.175,53.0,22.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,323.0
103.757,54.0,23.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,324.0
101.674,55.0,24.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,304.0
102.433,56.0,25.0,HARD,3.0,GAS,2022,Pre-Season Test,R,35.0,25.0,0,309.0
94.964,2.0,2.0,MEDIUM,1.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,312.0
122.592,3.0,3.0,MEDIUM,1.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,293.0
95.097,4.0,4.0,MEDIUM,1.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,314.0
125.854,5.0,5.0,MEDIUM,1.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,297.0
94.905,6.0,6.0,MEDIUM,1.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,314.0
93.621,9.0,2.0,SOFT,2.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,313.0
139.909,10.0,3.0,SOFT,2.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,286.0
118.815,11.0,4.0,SOFT,2.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,311.0
93.809,12.0,5.0,SOFT,2.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,313.0
98.495,15.0,8.0,SOFT,3.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,288.0
98.705,16.0,9.0,SOFT,3.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,283.0
98.694,17.0,10.0,SOFT,3.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,300.46153846153845
99.532,18.0,11.0,SOFT,3.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,300.46153846153845
98.99,19.0,12.0,SOFT,3.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,292.0
98.85,20.0,13.0,SOFT,3.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,300.46153846153845
98.098,23.0,9.0,MEDIUM,4.0,GAS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,290.0
100.169,2.0,5.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,289.0
99.968,3.0,6.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,292.0
100.158,4.0,7.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,297.0
100.249,5.0,8.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.0
100.474,6.0,9.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,296.0
100.433,7.0,10.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,297.82142857142856
100.684,8.0,11.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,297.82142857142856
100.844,9.0,12.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,294.0
100.981,10.0,13.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,297.82142857142856
101.089,11.0,14.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.0
101.347,12.0,15.0,SOFT,1.0,GAS,2022,Bahrain Grand Prix,R,35.0,25.0,0,297.82142857142856
