LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
94.274,2.0,2.0,MEDIUM,1.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,298.0
145.251,4.0,4.0,MEDIUM,1.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,204.0
92.672,5.0,5.0,MEDIUM,1.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,297.0
147.509,6.0,6.0,MEDIUM,1.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,268.0
117.945,7.0,7.0,MEDIUM,1.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,1,197.0
91.44,12.0,4.0,SOFT,3.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,297.0
144.464,13.0,5.0,SOFT,3.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,271.0
131.952,14.0,6.0,SOFT,3.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,167.0
117.189,15.0,7.0,SOFT,3.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,299.0
90.846,16.0,8.0,SOFT,3.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,298.0
121.249,17.0,9.0,SOFT,3.0,HAD,2025,Pre-Season Testing,FP2,32.18395061728395,28.201234567901235,0,244.0
101.529,2.0,4.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,272.0
100.257,3.0,5.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,285.0
99.326,4.0,6.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,286.0
98.739,5.0,7.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,285.0
98.554,6.0,8.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,286.0
98.093,7.0,9.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,287.0
98.577,8.0,10.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,275.5652173913044
98.465,9.0,11.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,286.0
98.28,10.0,12.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,288.0
98.427,11.0,13.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,285.0
98.335,12.0,14.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,275.5652173913044
98.379,13.0,15.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,286.0
98.489,14.0,16.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,285.0
98.588,15.0,17.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,274.0
98.526,16.0,18.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,275.5652173913044
98.518,17.0,19.0,SOFT,1.0,HAD,2025,Pre-Season Testing,R,33.85217391304348,29.072049689440995,0,276.0
