LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
97.186,2.0,2.0,MEDIUM,1.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,295.0
96.077,3.0,3.0,MEDIUM,1.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,317.0
99.745,4.0,4.0,MEDIUM,1.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,288.0
90.892,5.0,5.0,MEDIUM,1.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
128.854,6.0,6.0,MEDIUM,1.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,213.0
102.5,7.0,7.0,MEDIUM,1.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,295.0
90.416,8.0,8.0,MEDIUM,1.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
97.053,11.0,2.0,SOFT,2.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,296.0
89.105,12.0,3.0,SOFT,2.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
93.818,15.0,11.0,MEDIUM,3.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,0,285.0
93.636,16.0,12.0,MEDIUM,3.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
93.843,17.0,13.0,MEDIUM,3.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,0,287.0
93.909,18.0,14.0,MEDIUM,3.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
94.636,19.0,15.0,MEDIUM,3.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
113.914,20.0,16.0,MEDIUM,3.0,HAM,2022,Pre-Season Track Session,FP2,35.0,25.0,0,277.0
145.614,3.0,2.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
95.27,4.0,3.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
95.12,5.0,4.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,326.0
93.731,6.0,5.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
93.955,7.0,6.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
93.679,8.0,7.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
93.704,9.0,8.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
93.338,10.0,9.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
93.335,11.0,10.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
94.09,12.0,11.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
93.212,13.0,12.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
93.226,14.0,13.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
93.042,15.0,14.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
92.973,16.0,15.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
93.168,17.0,16.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
92.92,18.0,17.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
92.592,19.0,18.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
92.85,20.0,19.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
92.833,21.0,20.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
92.435,22.0,21.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,298.0
92.65,23.0,22.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
92.782,24.0,23.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
92.723,25.0,24.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,300.0
92.655,26.0,25.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,298.0
92.445,27.0,26.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
92.265,28.0,27.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
92.442,29.0,28.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
92.541,30.0,29.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
92.676,31.0,30.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
92.079,32.0,31.0,MEDIUM,2.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
92.111,35.0,2.0,HARD,3.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
91.711,36.0,3.0,HARD,3.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,301.0
91.521,37.0,4.0,HARD,3.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
91.302,38.0,5.0,HARD,3.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
92.498,43.0,4.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
92.062,44.0,5.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,303.0
91.659,45.0,6.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,317.0
92.894,46.0,7.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,323.0
91.933,47.0,8.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,326.0
91.628,48.0,9.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,315.0
91.201,49.0,10.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
91.397,50.0,11.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
92.277,51.0,12.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
90.51,52.0,13.0,SOFT,4.0,HAM,2022,Pre-Season Track Session,R,35.0,25.0,1,303.0
101.43,2.0,2.0,TEST_UNKNOWN,1.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,1,290.0
99.836,3.0,3.0,TEST_UNKNOWN,1.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,1,286.0
99.698,4.0,4.0,TEST_UNKNOWN,1.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,1,289.0
102.168,7.0,2.0,TEST_UNKNOWN,2.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,1,291.0
100.052,8.0,3.0,TEST_UNKNOWN,2.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,1,286.0
99.74,9.0,4.0,TEST_UNKNOWN,2.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,1,288.0
102.257,12.0,7.0,TEST_UNKNOWN,3.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,281.0
102.353,13.0,8.0,TEST_UNKNOWN,3.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,284.0
104.005,14.0,9.0,TEST_UNKNOWN,3.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
104.466,15.0,10.0,TEST_UNKNOWN,3.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,292.0
102.401,16.0,11.0,TEST_UNKNOWN,3.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,286.0
102.149,17.0,12.0,TEST_UNKNOWN,3.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,290.0
103.396,20.0,7.0,TEST_UNKNOWN,4.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,286.0
103.448,21.0,8.0,TEST_UNKNOWN,4.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
102.605,22.0,9.0,TEST_UNKNOWN,4.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,289.0
102.918,23.0,10.0,TEST_UNKNOWN,4.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,288.0
102.922,24.0,11.0,TEST_UNKNOWN,4.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,289.0
102.773,25.0,12.0,TEST_UNKNOWN,4.0,HAM,2022,Pre-Season Test,FP2,35.0,25.0,0,283.0
102.325,2.0,2.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,290.0
102.175,3.0,3.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,297.0
102.798,4.0,4.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,293.0
103.196,5.0,5.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,293.0
102.576,6.0,6.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,297.0
102.702,7.0,7.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,298.0
103.212,8.0,8.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,296.0
102.672,9.0,9.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,296.0
102.719,10.0,10.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,294.0
103.208,11.0,11.0,MEDIUM,1.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,296.0
102.69,14.0,2.0,HARD,2.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,288.0
102.891,15.0,3.0,HARD,2.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,293.0
102.061,16.0,4.0,HARD,2.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,293.0
102.511,17.0,5.0,HARD,2.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,293.0
101.933,26.0,14.0,HARD,2.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,296.0
101.842,27.0,15.0,HARD,2.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,290.0
101.523,28.0,16.0,HARD,2.0,HAM,2022,Pre-Season Test,R,35.0,25.0,1,291.0
