LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
96.24,2.0,2.0,MEDIUM,1.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,303.0
113.704,3.0,3.0,MEDIUM,1.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,266.0
97.016,4.0,4.0,MEDIUM,1.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,303.0
94.061,7.0,2.0,SOFT,2.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,303.0
100.168,10.0,7.0,MEDIUM,3.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,279.0
99.814,11.0,8.0,MEDIUM,3.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,280.0
99.896,12.0,9.0,MEDIUM,3.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,276.88235294117646
100.282,13.0,10.0,MEDIUM,3.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,272.0
100.244,14.0,11.0,MEDIUM,3.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,271.0
100.29,15.0,12.0,MEDIUM,3.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,269.0
100.509,18.0,15.0,MEDIUM,4.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,283.0
100.247,19.0,16.0,MEDIUM,4.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,274.0
100.637,20.0,17.0,MEDIUM,4.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,275.0
102.205,21.0,18.0,MEDIUM,4.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,273.0
97.631,24.0,5.0,SOFT,5.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,272.0
98.266,25.0,6.0,SOFT,5.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,273.0
98.448,26.0,7.0,SOFT,5.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,275.0
122.043,27.0,8.0,SOFT,5.0,HUL,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,236.0
101.077,2.0,2.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,292.0
100.638,3.0,3.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,283.0
101.189,4.0,4.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,311.0
102.49,5.0,5.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,308.0
101.995,6.0,6.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,273.0
101.912,7.0,7.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,291.0
102.177,8.0,8.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,300.0
103.773,9.0,9.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,312.0
103.228,10.0,10.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,294.0
102.603,11.0,11.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,290.0
102.821,12.0,12.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,283.0
101.942,13.0,13.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,297.0
102.959,14.0,14.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,280.0
102.819,15.0,15.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,285.0
103.615,16.0,16.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,284.0
104.45,17.0,17.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,304.0
103.59,18.0,18.0,SOFT,1.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,291.0
99.18,21.0,2.0,SOFT,2.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,285.0
99.307,22.0,3.0,SOFT,2.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,290.0
99.22,23.0,4.0,SOFT,2.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,283.0
99.307,24.0,5.0,SOFT,2.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,286.0
99.689,25.0,6.0,SOFT,2.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,289.780487804878
99.506,26.0,7.0,SOFT,2.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,288.0
99.84,27.0,8.0,SOFT,2.0,HUL,2022,Bahrain Grand Prix,R,35.0,25.0,1,289.780487804878
