LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
95.383,2.0,2.0,SOFT,1.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
135.907,3.0,3.0,SOFT,1.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,268.0
93.301,4.0,4.0,SOFT,1.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
132.466,5.0,5.0,SOFT,1.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,261.0
114.943,6.0,6.0,SOFT,1.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,298.0
91.938,7.0,7.0,SOFT,1.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
92.18,10.0,2.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,315.0
146.591,11.0,3.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,219.0
91.326,12.0,4.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,315.0
137.756,13.0,5.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,181.0
97.719,16.0,2.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,292.0
96.36,17.0,3.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,291.0
96.039,18.0,4.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,291.0
96.239,19.0,5.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,295.0
95.447,20.0,6.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,294.0
94.962,21.0,7.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,296.0
94.86,22.0,8.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,295.0
95.719,23.0,9.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,1,295.0
137.651,26.0,10.0,SOFT,4.0,LAT,2022,Pre-Season Track Session,FP2,35.0,25.0,0,198.0
135.275,3.0,2.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
97.41,4.0,3.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,308.0
95.719,5.0,4.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,323.0
95.743,6.0,5.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,324.0
95.615,7.0,6.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,325.0
95.673,8.0,7.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,319.0
95.522,9.0,8.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,324.0
95.462,10.0,9.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
95.686,11.0,10.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
95.531,12.0,11.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,321.0
95.333,13.0,12.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
95.265,14.0,13.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
95.232,15.0,14.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
95.635,16.0,15.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
95.357,17.0,16.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,307.0
95.442,18.0,17.0,SOFT,2.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
94.232,21.0,2.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
94.01,22.0,3.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,301.0
94.227,23.0,4.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,302.0
94.962,24.0,5.0,MEDIUM,3.0,LAT,2022,Pre-Season Track Session,R,35.0,25.0,1,303.0
