LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
86.818,3.0,7.0,INTERMEDIATE,2.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,0,278.0
88.443,4.0,8.0,INTERMEDIATE,2.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,0,268.0
85.079,5.0,9.0,INTERMEDIATE,2.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,0,275.0
84.796,6.0,10.0,INTERMEDIATE,2.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,0,271.0
85.37,7.0,11.0,INTERMEDIATE,2.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,0,280.0
85.898,8.0,12.0,INTERMEDIATE,2.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,0,278.0
87.417,9.0,13.0,INTERMEDIATE,2.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,0,270.0
78.834,12.0,2.0,SOFT,3.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,293.0
78.43,13.0,3.0,SOFT,3.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,289.0
78.261,14.0,4.0,SOFT,3.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,287.46938775510205
77.473,15.0,5.0,SOFT,3.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,294.0
78.517,22.0,5.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,283.0
78.354,23.0,6.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,300.0
77.626,24.0,7.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,293.0
78.141,25.0,8.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,302.0
77.743,26.0,9.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,304.0
77.554,27.0,10.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,294.0
77.525,28.0,11.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,302.0
77.593,29.0,12.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,307.0
77.733,30.0,13.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,310.0
77.583,31.0,14.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,303.0
77.266,32.0,15.0,MEDIUM,4.0,LAW,2023,Dutch Grand Prix,R,24.94114832535885,16.791866028708135,1,287.46938775510205
