LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
90.786,2.0,2.0,MEDIUM,1.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
143.721,3.0,3.0,MEDIUM,1.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,78.0
115.684,4.0,4.0,MEDIUM,1.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,168.0
89.639,5.0,5.0,MEDIUM,1.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,316.0
131.503,6.0,6.0,MEDIUM,1.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,250.0
134.587,7.0,7.0,MEDIUM,1.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,50.0
89.462,8.0,8.0,MEDIUM,1.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
126.965,11.0,2.0,SOFT,2.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,190.0
89.404,14.0,5.0,SOFT,3.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,311.0
93.736,17.0,11.0,MEDIUM,4.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,294.0
93.499,18.0,12.0,MEDIUM,4.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,294.0
93.73,19.0,13.0,MEDIUM,4.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,295.0
93.867,20.0,14.0,MEDIUM,4.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,292.0
93.481,21.0,15.0,MEDIUM,4.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
94.04,22.0,16.0,MEDIUM,4.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,293.0
94.226,23.0,17.0,MEDIUM,4.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,312.0
126.621,24.0,18.0,MEDIUM,4.0,LEC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,211.0
149.193,3.0,2.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,300.0
94.65,4.0,3.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
93.657,5.0,4.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
93.483,6.0,5.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
93.704,7.0,6.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
93.648,8.0,7.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,298.0
93.509,9.0,8.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,301.0
93.821,10.0,9.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,300.0
93.683,11.0,10.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,318.0
93.793,12.0,11.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
93.204,13.0,12.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,317.0
93.451,14.0,13.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,315.0
93.222,15.0,14.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,321.0
93.61,16.0,15.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,318.0
93.459,17.0,16.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,315.0
93.363,18.0,17.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
92.757,19.0,18.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,317.0
93.046,20.0,19.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,318.0
93.323,21.0,20.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
92.796,22.0,21.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,300.0
93.119,23.0,22.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,300.0
93.055,24.0,23.0,MEDIUM,2.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
92.06,27.0,2.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,301.0
92.021,28.0,3.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,302.0
92.302,29.0,4.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,318.0
92.403,30.0,5.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,326.0
92.325,31.0,6.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
91.837,32.0,7.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
91.976,33.0,8.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
92.124,34.0,9.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,302.0
91.774,35.0,10.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,298.0
91.692,36.0,11.0,HARD,3.0,LEC,2022,Pre-Season Track Session,R,35.0,25.0,1,299.0
