LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
94.601,2.0,2.0,HARD,1.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
93.232,3.0,3.0,HARD,1.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
92.241,4.0,4.0,HARD,1.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
127.45,5.0,5.0,HARD,1.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,110.0
92.095,6.0,6.0,HARD,1.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
121.627,7.0,7.0,HARD,1.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,269.0
92.135,8.0,8.0,HARD,1.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,317.0
90.532,11.0,2.0,SOFT,2.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
130.081,12.0,3.0,SOFT,2.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,246.0
128.592,13.0,4.0,SOFT,2.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,124.0
90.48,14.0,5.0,SOFT,2.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
127.708,15.0,6.0,SOFT,2.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,1,266.0
95.22,18.0,9.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
95.853,19.0,10.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,283.0
95.383,20.0,11.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,284.0
95.463,21.0,12.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,285.0
95.336,22.0,13.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,285.0
95.168,23.0,14.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,284.0
95.367,24.0,15.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,285.0
96.002,25.0,16.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,285.0
123.351,26.0,17.0,SOFT,3.0,MAG,2022,Pre-Season Track Session,FP2,35.0,25.0,0,221.0
125.703,3.0,4.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,301.0
97.784,4.0,5.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,297.0
95.935,5.0,6.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,312.0
95.549,6.0,7.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,313.0
95.242,7.0,8.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,316.0
95.611,8.0,9.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,317.0
95.443,9.0,10.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,320.0
95.541,10.0,11.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,318.0
95.521,11.0,12.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,323.0
95.422,12.0,13.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,321.0
95.403,13.0,14.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,316.0
95.258,14.0,15.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,315.0
96.592,15.0,16.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,312.0
95.065,16.0,17.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,314.0
95.848,17.0,18.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,295.0
95.869,18.0,19.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,300.0
94.995,19.0,20.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,317.0
95.311,20.0,21.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,315.0
94.946,21.0,22.0,MEDIUM,2.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,0,293.0
94.578,24.0,2.0,MEDIUM,3.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,1,290.0
94.198,25.0,3.0,MEDIUM,3.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
93.675,26.0,4.0,MEDIUM,3.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,1,314.0
94.128,27.0,5.0,MEDIUM,3.0,MAG,2022,Pre-Season Track Session,R,35.0,25.0,1,317.0
