LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
95.006,2.0,2.0,MEDIUM,1.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,308.0
93.638,3.0,3.0,MEDIUM,1.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,307.0
116.79,4.0,4.0,MEDIUM,1.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,171.0
115.322,5.0,5.0,MEDIUM,1.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,147.0
92.073,6.0,6.0,MEDIUM,1.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
122.085,7.0,7.0,MEDIUM,1.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,195.0
91.762,8.0,8.0,MEDIUM,1.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,315.0
90.778,11.0,2.0,SOFT,2.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
122.525,12.0,3.0,SOFT,2.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,199.0
90.645,13.0,4.0,SOFT,2.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
121.316,14.0,5.0,SOFT,2.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,261.0
90.609,15.0,6.0,SOFT,2.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
95.224,18.0,11.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,286.0
95.426,19.0,12.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,286.0
95.385,20.0,13.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,283.0
94.663,21.0,14.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,286.0
96.277,22.0,15.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,292.0
95.176,23.0,16.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
95.138,24.0,17.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,286.0
95.271,25.0,18.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,285.0
96.045,26.0,19.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
96.04,27.0,20.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
116.63,28.0,21.0,MEDIUM,3.0,MSC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,205.0
120.329,3.0,2.0,MEDIUM,2.0,MSC,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
97.298,4.0,3.0,MEDIUM,2.0,MSC,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
96.04,5.0,4.0,MEDIUM,2.0,MSC,2022,Pre-Season Track Session,R,35.0,25.0,1,320.0
95.569,6.0,5.0,MEDIUM,2.0,MSC,2022,Pre-Season Track Session,R,35.0,25.0,1,320.0
95.083,7.0,6.0,MEDIUM,2.0,MSC,2022,Pre-Season Track Session,R,35.0,25.0,1,320.0
95.677,8.0,7.0,MEDIUM,2.0,MSC,2022,Pre-Season Track Session,R,35.0,25.0,1,322.0
96.028,9.0,8.0,MEDIUM,2.0,MSC,2022,Pre-Season Track Session,R,35.0,25.0,1,310.0
