LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
97.045,2.0,2.0,HARD,1.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,308.0
92.943,3.0,3.0,HARD,1.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,304.0
137.419,4.0,4.0,HARD,1.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,125.0
91.869,5.0,5.0,HARD,1.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
135.319,6.0,6.0,HARD,1.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,153.0
92.047,7.0,7.0,HARD,1.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,309.0
121.604,8.0,8.0,HARD,1.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,226.0
91.325,9.0,9.0,HARD,1.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,309.0
89.118,12.0,2.0,SOFT,2.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
136.282,13.0,3.0,SOFT,2.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,239.0
95.484,17.0,12.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,278.0
94.984,18.0,13.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,283.0
94.881,19.0,14.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,281.0
94.701,20.0,15.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,281.0
94.705,21.0,16.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,284.0
94.438,22.0,17.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,284.0
94.701,23.0,18.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,281.0
94.236,24.0,19.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,285.0
94.84,25.0,20.0,HARD,4.0,NOR,2022,Pre-Season Track Session,FP2,35.0,25.0,0,282.0
