LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
93.081,2.0,2.0,SOFT,1.0,OCO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,305.0
128.111,3.0,3.0,SOFT,1.0,OCO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,283.0
91.576,4.0,4.0,SOFT,1.0,OCO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,305.0
127.847,5.0,5.0,SOFT,1.0,OCO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,248.0
91.226,6.0,6.0,SOFT,1.0,OCO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,306.0
90.238,9.0,2.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,308.0
147.349,10.0,3.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,270.0
90.246,11.0,4.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,307.0
125.385,3.0,2.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,315.0
96.513,4.0,3.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,300.0
95.717,5.0,4.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,312.0
95.589,6.0,5.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,313.0
95.631,7.0,6.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,310.0
95.485,8.0,7.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,308.0
95.807,9.0,8.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,309.0
95.291,10.0,9.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,309.0
95.57,11.0,10.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,289.0
95.494,12.0,11.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,289.0
95.426,13.0,12.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,290.0
95.256,14.0,13.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
95.101,15.0,14.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
94.995,16.0,15.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
94.999,17.0,16.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
94.849,18.0,17.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
94.996,19.0,18.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
95.046,20.0,19.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
95.036,21.0,20.0,SOFT,2.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
94.287,24.0,2.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,291.0
94.65,25.0,3.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
94.24,26.0,4.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,314.0
94.843,27.0,5.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,325.0
94.631,28.0,6.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,313.0
94.149,29.0,7.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
94.367,30.0,8.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
93.915,31.0,9.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
94.139,32.0,10.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
94.115,33.0,11.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,310.0
93.962,34.0,12.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,311.0
93.726,35.0,13.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,323.0
94.258,36.0,14.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,325.0
93.537,37.0,15.0,HARD,3.0,OCO,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
102.943,2.0,2.0,TEST_UNKNOWN,1.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,1,283.0
102.156,3.0,3.0,TEST_UNKNOWN,1.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,1,282.0
101.625,4.0,4.0,TEST_UNKNOWN,1.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,1,283.0
101.6,7.0,2.0,TEST_UNKNOWN,2.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,1,283.0
101.45,8.0,3.0,TEST_UNKNOWN,2.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,1,285.0
101.31,9.0,4.0,TEST_UNKNOWN,2.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,1,286.0
103.893,12.0,7.0,TEST_UNKNOWN,3.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,0,284.0
104.243,13.0,8.0,TEST_UNKNOWN,3.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,0,285.0
104.41,14.0,9.0,TEST_UNKNOWN,3.0,OCO,2022,Pre-Season Test,FP2,35.0,25.0,0,285.0
