LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
92.545,2.0,2.0,MEDIUM,1.0,PER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,317.0
90.835,5.0,5.0,MEDIUM,2.0,PER,2022,Pre-Season Track Session,FP2,35.0,25.0,0,317.0
90.095,9.0,9.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,FP2,35.0,25.0,0,320.0
89.753,12.0,2.0,SOFT,4.0,PER,2022,Pre-Season Track Session,FP2,35.0,25.0,1,316.0
97.761,15.0,5.0,SOFT,5.0,PER,2022,Pre-Season Track Session,FP2,35.0,25.0,0,300.0
93.793,16.0,6.0,SOFT,5.0,PER,2022,Pre-Season Track Session,FP2,35.0,25.0,0,295.0
149.321,3.0,2.0,MEDIUM,2.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
95.479,4.0,3.0,MEDIUM,2.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
93.455,7.0,3.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,302.0
93.435,8.0,4.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,303.0
93.362,9.0,5.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,303.0
93.395,10.0,6.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,303.0
93.678,11.0,7.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,304.0
93.845,12.0,8.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,304.0
94.869,13.0,9.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,325.0
93.838,14.0,10.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,305.0
94.293,15.0,11.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,306.0
94.301,16.0,12.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,327.0
93.657,17.0,13.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,306.0
93.816,18.0,14.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,331.0
94.38,19.0,15.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,332.0
94.059,20.0,16.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,326.0
93.291,21.0,17.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,305.0
93.104,22.0,18.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,326.0
93.02,23.0,19.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,306.0
93.137,24.0,20.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,304.0
93.101,25.0,21.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,305.0
92.666,26.0,22.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,306.0
92.948,27.0,23.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,306.0
92.847,28.0,24.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,307.0
93.014,29.0,25.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,306.0
92.925,30.0,26.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,305.0
92.655,31.0,27.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,305.0
92.886,32.0,28.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,304.0
92.926,33.0,29.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,304.0
92.727,34.0,30.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,304.0
92.305,35.0,31.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,305.0
92.323,36.0,32.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,306.0
92.401,37.0,33.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,307.0
92.759,38.0,34.0,MEDIUM,3.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,0,307.0
91.892,43.0,4.0,SOFT,4.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,1,313.0
92.091,44.0,5.0,SOFT,4.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,1,309.0
92.207,45.0,6.0,SOFT,4.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,1,329.0
91.466,46.0,7.0,SOFT,4.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
90.937,47.0,8.0,SOFT,4.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,1,306.0
91.296,48.0,9.0,SOFT,4.0,PER,2022,Pre-Season Track Session,R,35.0,25.0,1,305.0
