LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
96.962,2.0,2.0,HARD,1.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,300.0
93.133,3.0,3.0,HARD,1.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,309.0
115.785,4.0,4.0,HARD,1.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,292.0
92.035,5.0,5.0,HARD,1.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
125.366,6.0,6.0,HARD,1.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,264.0
91.519,7.0,7.0,HARD,1.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
139.918,8.0,8.0,HARD,1.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,239.0
91.44,9.0,9.0,HARD,1.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
121.963,12.0,2.0,SOFT,2.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,290.0
89.902,13.0,3.0,SOFT,2.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
94.649,17.0,7.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,285.0
94.935,18.0,8.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,286.0
94.502,19.0,9.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
94.818,20.0,10.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
94.499,21.0,11.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,294.0
94.907,22.0,12.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,294.0
96.957,23.0,13.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,313.0
94.853,24.0,14.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,293.0
119.192,25.0,15.0,SOFT,3.0,RIC,2022,Pre-Season Track Session,FP2,35.0,25.0,0,265.0
128.846,3.0,3.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,304.0
97.878,4.0,4.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,299.0
95.865,5.0,5.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,318.0
95.642,6.0,6.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,315.0
95.66,7.0,7.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,312.0
95.802,8.0,8.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,315.0
95.37,9.0,9.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,320.0
95.509,10.0,10.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,322.0
95.713,11.0,11.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,320.0
95.367,12.0,12.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,317.0
95.247,13.0,13.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,321.0
95.289,14.0,14.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,319.0
95.303,15.0,15.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,315.0
95.571,16.0,16.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,321.0
95.289,17.0,17.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,319.0
95.56,18.0,18.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,319.0
95.239,19.0,19.0,MEDIUM,2.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,0,315.0
94.393,22.0,2.0,HARD,3.0,RIC,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
