LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
97.441,2.0,2.0,HARD,1.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,302.0
98.196,3.0,3.0,HARD,1.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,304.0
93.478,4.0,4.0,HARD,1.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
117.206,5.0,5.0,HARD,1.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,231.0
101.844,6.0,6.0,HARD,1.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,223.0
92.029,7.0,7.0,HARD,1.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
90.583,10.0,2.0,SOFT,2.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
109.588,11.0,3.0,SOFT,2.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,295.0
89.799,12.0,4.0,SOFT,2.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
112.876,15.0,7.0,SOFT,3.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,190.0
90.0,16.0,8.0,SOFT,3.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,314.0
95.222,19.0,10.0,HARD,4.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,286.0
94.577,20.0,11.0,HARD,4.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
94.85,21.0,12.0,HARD,4.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
94.111,22.0,13.0,HARD,4.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
93.731,23.0,14.0,HARD,4.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
93.423,24.0,15.0,HARD,4.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
92.904,27.0,11.0,SOFT,5.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,311.0
120.166,28.0,12.0,SOFT,5.0,RUS,2022,Pre-Season Track Session,FP2,35.0,25.0,0,247.0
101.462,2.0,2.0,TEST_UNKNOWN,1.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,1,278.0
100.574,3.0,3.0,TEST_UNKNOWN,1.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,1,286.0
100.562,4.0,4.0,TEST_UNKNOWN,1.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,1,285.0
101.594,7.0,2.0,TEST_UNKNOWN,2.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,1,281.0
103.553,8.0,3.0,TEST_UNKNOWN,2.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,1,288.0
100.88,9.0,4.0,TEST_UNKNOWN,2.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,1,286.0
103.688,12.0,7.0,TEST_UNKNOWN,3.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,280.0
103.137,13.0,8.0,TEST_UNKNOWN,3.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,284.0
102.94,14.0,9.0,TEST_UNKNOWN,3.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
103.35,15.0,10.0,TEST_UNKNOWN,3.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,289.0
109.28,16.0,11.0,TEST_UNKNOWN,3.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,291.0
109.101,17.0,12.0,TEST_UNKNOWN,3.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,291.0
102.984,20.0,7.0,TEST_UNKNOWN,4.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,279.0
102.494,21.0,8.0,TEST_UNKNOWN,4.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,283.0
102.767,22.0,9.0,TEST_UNKNOWN,4.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,282.0
102.432,23.0,10.0,TEST_UNKNOWN,4.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,286.0
102.481,24.0,11.0,TEST_UNKNOWN,4.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,285.0
102.35,25.0,12.0,TEST_UNKNOWN,4.0,RUS,2022,Pre-Season Test,FP2,35.0,25.0,0,283.0
103.183,2.0,2.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,294.0
102.912,3.0,3.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,299.0
103.091,4.0,4.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,313.0
103.669,5.0,5.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,309.0
102.985,6.0,6.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,289.0
102.776,7.0,7.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,290.0
103.465,8.0,8.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,297.0
103.163,9.0,9.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,296.0
102.919,10.0,10.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,291.0
103.313,11.0,11.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,292.0
103.742,12.0,12.0,MEDIUM,1.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,292.0
102.836,15.0,2.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,304.0
102.424,16.0,3.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,292.0
102.695,17.0,4.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,298.0
103.302,26.0,13.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,295.0
102.239,27.0,14.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,296.0
101.924,28.0,15.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,289.0
102.139,29.0,16.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,294.0
102.196,30.0,17.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,297.0
101.764,31.0,18.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,307.0
101.987,32.0,19.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,309.0
102.152,33.0,20.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,305.0
101.62,34.0,21.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,307.0
101.827,35.0,22.0,HARD,2.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,321.0
100.6,38.0,2.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,292.0
102.396,39.0,3.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,309.0
100.763,40.0,4.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,292.0
100.928,41.0,5.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,295.0
100.8,42.0,6.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,292.0
100.478,43.0,7.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,292.0
100.984,44.0,8.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,292.0
100.739,45.0,9.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,296.0
101.472,46.0,10.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,293.0
101.053,47.0,11.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,296.0
101.201,48.0,12.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,298.0
101.253,49.0,13.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,295.0
101.153,50.0,14.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,297.0
100.881,51.0,15.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,298.0
101.573,52.0,16.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,296.0
101.911,53.0,17.0,HARD,3.0,RUS,2022,Pre-Season Test,R,35.0,25.0,1,301.0
98.788,56.0,5.0,SOFT,4.0,RUS,2022,Pre-Season Test,R,35.0,25.0,0,301.0
94.86,2.0,2.0,MEDIUM,1.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,303.0
94.971,5.0,5.0,MEDIUM,2.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,301.0
124.54,6.0,6.0,MEDIUM,2.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,248.0
94.908,7.0,7.0,MEDIUM,2.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,303.0
92.529,10.0,2.0,SOFT,3.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,307.0
130.328,11.0,3.0,SOFT,3.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,1,166.0
98.514,14.0,6.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,260.0
98.25,15.0,7.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,302.0
98.318,16.0,8.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,297.0
98.588,17.0,9.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,282.0
98.416,18.0,10.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,276.0
98.827,19.0,11.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,278.0
98.329,20.0,12.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,306.0
98.774,21.0,13.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,277.0
98.988,22.0,14.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,283.0
99.466,23.0,15.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,278.0
133.966,24.0,16.0,SOFT,4.0,RUS,2022,Bahrain Grand Prix,FP2,35.0,25.0,0,160.0
99.694,2.0,5.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,282.0
99.725,3.0,6.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,289.0
99.772,4.0,7.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,324.0
99.041,5.0,8.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,319.0
99.605,6.0,9.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,290.0
99.934,7.0,10.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,294.0
99.729,8.0,11.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
100.158,9.0,12.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,293.0
100.236,10.0,13.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
100.358,11.0,14.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
100.215,12.0,15.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,292.0
100.448,13.0,16.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,281.0
100.409,14.0,17.0,SOFT,1.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,292.0
98.089,17.0,3.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,284.0
98.114,18.0,4.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,291.0
98.307,19.0,5.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
98.148,20.0,6.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
98.633,21.0,7.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,292.0
98.567,22.0,8.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
98.896,23.0,9.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
99.286,24.0,10.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
99.165,25.0,11.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
99.306,26.0,12.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
99.096,27.0,13.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
99.297,28.0,14.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,291.0
99.274,29.0,15.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
99.454,30.0,16.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
99.438,31.0,17.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
99.738,32.0,18.0,HARD,2.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,0,295.55555555555554
97.216,35.0,2.0,MEDIUM,3.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,1,284.0
97.527,36.0,3.0,MEDIUM,3.0,RUS,2022,Bahrain Grand Prix,R,35.0,25.0,1,293.0
