LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
95.345,2.0,2.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
90.88,3.0,3.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
133.418,4.0,4.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,248.0
89.962,5.0,5.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
141.312,6.0,6.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,132.0
116.046,7.0,7.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,279.0
116.449,8.0,8.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,300.0
99.928,9.0,9.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,291.0
89.543,10.0,10.0,MEDIUM,1.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
89.014,13.0,2.0,SOFT,2.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,1,314.0
88.942,16.0,5.0,SOFT,3.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,0,313.0
93.219,19.0,8.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,0,292.0
93.539,20.0,9.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
93.338,21.0,10.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
93.651,22.0,11.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,0,292.0
93.829,23.0,12.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,0,293.0
94.665,24.0,13.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
105.176,27.0,13.0,MEDIUM,5.0,SAI,2022,Pre-Season Track Session,FP2,35.0,25.0,0,292.0
93.437,4.0,3.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
93.623,5.0,4.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
93.596,6.0,5.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
93.918,7.0,6.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
93.732,8.0,7.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
93.575,9.0,8.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,301.0
95.415,10.0,9.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
93.862,11.0,10.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
93.491,12.0,11.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,312.0
93.31,13.0,12.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
93.55,14.0,13.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
93.445,15.0,14.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,303.0
93.55,16.0,15.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
93.328,17.0,16.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,296.0
93.166,18.0,17.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
92.974,19.0,18.0,MEDIUM,2.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,303.0
92.771,22.0,2.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
92.622,23.0,3.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
92.787,24.0,4.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
92.696,25.0,5.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
92.976,26.0,6.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
92.876,27.0,7.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
92.403,28.0,8.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
92.493,29.0,9.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
92.764,30.0,10.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
93.584,31.0,11.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,315.0
91.932,32.0,12.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,314.0
92.073,33.0,13.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,313.0
92.72,34.0,14.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
92.463,35.0,15.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
92.416,36.0,16.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,292.0
92.169,37.0,17.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
92.072,38.0,18.0,HARD,3.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,294.0
90.886,43.0,4.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,295.0
90.813,44.0,5.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,297.0
91.215,45.0,6.0,SOFT,4.0,SAI,2022,Pre-Season Track Session,R,35.0,25.0,1,293.0
