LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
97.668,2.0,2.0,MEDIUM,1.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,290.0
94.57,3.0,3.0,MEDIUM,1.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,288.0
133.049,4.0,4.0,MEDIUM,1.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,288.0
92.173,5.0,5.0,MEDIUM,1.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,308.0
132.732,6.0,6.0,MEDIUM,1.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,284.0
91.693,7.0,7.0,MEDIUM,1.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,308.0
128.174,8.0,8.0,MEDIUM,1.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,287.0
91.44,9.0,9.0,MEDIUM,1.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,307.0
90.096,12.0,2.0,SOFT,2.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
90.257,14.0,4.0,SOFT,2.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
89.942,16.0,6.0,SOFT,2.0,STR,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
115.88,3.0,4.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,303.0
98.189,4.0,5.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,301.0
96.284,5.0,6.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,320.0
95.761,6.0,7.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,322.0
95.666,7.0,8.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,300.0
95.64,8.0,9.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,293.0
96.032,9.0,10.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,296.0
95.766,10.0,11.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,294.0
96.768,11.0,12.0,MEDIUM,2.0,STR,2022,Pre-Season Track Session,R,35.0,25.0,0,313.0
