LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
94.205,2.0,2.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
123.083,3.0,3.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,266.0
92.66,4.0,4.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,312.0
124.381,5.0,5.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,179.0
91.906,6.0,6.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
134.156,7.0,7.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,260.0
92.329,8.0,8.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,316.0
120.846,9.0,9.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,267.0
91.383,10.0,10.0,MEDIUM,1.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,316.0
90.338,13.0,2.0,SOFT,2.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
123.887,14.0,3.0,SOFT,2.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,244.0
91.1,15.0,4.0,SOFT,2.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,313.0
122.927,16.0,5.0,SOFT,2.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,187.0
90.604,17.0,6.0,SOFT,2.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,1,317.0
95.756,20.0,9.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
95.809,21.0,10.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
95.607,22.0,11.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
95.531,23.0,12.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,294.0
95.342,24.0,13.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
94.941,25.0,14.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,290.0
95.769,26.0,15.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,291.0
96.087,27.0,16.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,292.0
122.274,28.0,17.0,SOFT,3.0,TSU,2022,Pre-Season Track Session,FP2,35.0,25.0,0,271.0
128.425,3.0,2.0,SOFT,2.0,TSU,2022,Pre-Season Track Session,R,35.0,25.0,1,303.0
