LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
98.43,2.0,2.0,HARD,1.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,290.0
95.4,3.0,3.0,HARD,1.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,291.0
93.665,4.0,4.0,HARD,1.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,305.0
92.926,5.0,5.0,HARD,1.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,300.0
106.905,6.0,6.0,HARD,1.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,289.0
92.091,7.0,7.0,HARD,1.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,307.0
114.341,8.0,8.0,HARD,1.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,275.0
92.122,9.0,9.0,HARD,1.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,308.0
90.335,12.0,2.0,SOFT,2.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,1,309.0
90.612,15.0,5.0,SOFT,3.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,0,312.0
120.268,16.0,6.0,SOFT,3.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,0,192.0
90.057,17.0,7.0,SOFT,3.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,0,311.0
123.054,18.0,8.0,SOFT,3.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,0,126.0
119.162,19.0,9.0,SOFT,3.0,VET,2022,Pre-Season Track Session,FP2,35.0,25.0,0,254.0
120.736,3.0,2.0,SOFT,2.0,VET,2022,Pre-Season Track Session,R,35.0,25.0,1,303.0
97.594,4.0,3.0,SOFT,2.0,VET,2022,Pre-Season Track Session,R,35.0,25.0,1,304.0
95.814,5.0,4.0,SOFT,2.0,VET,2022,Pre-Season Track Session,R,35.0,25.0,1,316.0
95.155,8.0,4.0,MEDIUM,3.0,VET,2022,Pre-Season Track Session,R,35.0,25.0,0,290.0
95.178,9.0,5.0,MEDIUM,3.0,VET,2022,Pre-Season Track Session,R,35.0,25.0,0,291.0
95.024,10.0,6.0,MEDIUM,3.0,VET,2022,Pre-Season Track Session,R,35.0,25.0,0,292.0
95.052,11.0,7.0,MEDIUM,3.0,VET,2022,Pre-Season Track Session,R,35.0,25.0,0,293.0
