LapTimeSec,RaceLapNumber,TyreLife,Compound,Stint,Driver,Year,Circuit,SessionType,TrackTemp,AirTemp,IsFreshTyre,TopSpeed
95.126,2.0,2.0,MEDIUM,1.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,307.0
133.498,3.0,3.0,MEDIUM,1.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,192.0
92.611,4.0,4.0,MEDIUM,1.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
123.916,5.0,5.0,MEDIUM,1.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,93.0
92.861,6.0,6.0,MEDIUM,1.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,308.0
91.082,9.0,2.0,SOFT,2.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,309.0
124.26,10.0,3.0,SOFT,2.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,280.0
90.805,11.0,4.0,SOFT,2.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
125.46,12.0,5.0,SOFT,2.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,281.0
90.615,13.0,6.0,SOFT,2.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,311.0
124.143,14.0,7.0,SOFT,2.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,262.0
90.271,15.0,8.0,SOFT,2.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,310.0
118.184,16.0,9.0,SOFT,2.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,1,152.0
94.52,20.0,9.0,MEDIUM,4.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,0,293.0
93.955,21.0,10.0,MEDIUM,4.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,0,292.0
94.243,22.0,11.0,MEDIUM,4.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,0,287.0
97.159,23.0,12.0,MEDIUM,4.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,0,287.0
95.723,24.0,13.0,MEDIUM,4.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,0,289.0
94.875,25.0,14.0,MEDIUM,4.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,0,288.0
136.236,26.0,15.0,MEDIUM,4.0,ZHO,2022,Pre-Season Track Session,FP2,35.0,25.0,0,210.0
102.983,2.0,2.0,TEST_UNKNOWN,1.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,1,288.0
102.299,3.0,3.0,TEST_UNKNOWN,1.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,1,291.0
101.488,4.0,4.0,TEST_UNKNOWN,1.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,1,293.0
101.306,7.0,2.0,TEST_UNKNOWN,2.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,1,287.0
100.664,8.0,3.0,TEST_UNKNOWN,2.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,1,288.0
102.853,9.0,4.0,TEST_UNKNOWN,2.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,1,288.0
103.891,12.0,7.0,TEST_UNKNOWN,3.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,293.0
104.688,13.0,8.0,TEST_UNKNOWN,3.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,295.0
103.94,14.0,9.0,TEST_UNKNOWN,3.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,303.0
104.01,15.0,10.0,TEST_UNKNOWN,3.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,285.0
103.357,16.0,11.0,TEST_UNKNOWN,3.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,288.0
106.043,17.0,12.0,TEST_UNKNOWN,3.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
103.616,20.0,7.0,TEST_UNKNOWN,4.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,292.0
104.334,21.0,8.0,TEST_UNKNOWN,4.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,292.0
103.724,22.0,9.0,TEST_UNKNOWN,4.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,284.0
103.287,23.0,10.0,TEST_UNKNOWN,4.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,284.0
103.364,24.0,11.0,TEST_UNKNOWN,4.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
103.254,25.0,12.0,TEST_UNKNOWN,4.0,ZHO,2022,Pre-Season Test,FP2,35.0,25.0,0,287.0
105.535,2.0,2.0,MEDIUM,1.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,294.0
104.538,3.0,3.0,MEDIUM,1.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,317.0
104.511,4.0,4.0,MEDIUM,1.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,316.0
104.904,5.0,5.0,MEDIUM,1.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,319.0
104.476,6.0,6.0,MEDIUM,1.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,322.0
104.454,7.0,7.0,MEDIUM,1.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,317.0
105.36,8.0,8.0,MEDIUM,1.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,313.0
103.895,11.0,2.0,HARD,2.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,289.0
104.152,12.0,3.0,HARD,2.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,292.0
104.739,13.0,4.0,HARD,2.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,290.0
103.824,14.0,5.0,HARD,2.0,ZHO,2022,Pre-Season Test,R,35.0,25.0,1,295.0
